"geoid_co","cnt_inv"
"42117",409
"42107",941
"42011",7875
"51177",161
"37055",146
"24013",4831
"42045",24844
"42063",921
"36023",1232
"36107",2896
"42079",2551
"42013",745
"42091",54075
"45041",1690
"24021",6034
"24017",1147
"36029",25882
"42071",14161
"36015",6876
"42027",6799
"51153",2361
"36105",352
"51101",85
"24027",16348
"37137",68
"51095",69
"36065",2447
"24005",14365
"51003",917
"42129",17304
"45089",60
"37141",239
"51015",438
"42127",329
"42029",34122
"24043",1009
"37047",174
"37051",839
"42119",366
"42111",504
"10003",39974
"51029",39
"24019",486
"36075",739
"34033",517
"36013",1668
"42057",100
"42061",1277
"37151",1049
"51069",515
"37183",96368
"42015",2394
"51099",634
"37107",403
"54057",105
"45033",55
"36077",954
"51075",312
"34015",5749
"42035",576
"36043",505
"42017",34714
"51019",1666
"24003",10348
"36067",19011
"37131",52
"51800",278
"51083",277
"42095",13400
"51107",11687
"36037",1146
"34007",9082
"36045",998
"24033",9703
"24029",293
"42025",731
"54075",12
"24031",59568
"24011",161
"37195",373
"54093",17
"51067",144
"42055",1232
"42077",18763
"42087",354
"51630",1710
"51001",120
"51025",28
"51171",178
"51105",17
"51117",129
"36053",1583
"36055",104094
"42003",65452
"51103",121
"36109",10024
"37125",970
"45015",722
"45019",5769
"36099",724
"24015",3106
"37123",71
"37127",483
"51079",152
"37081",12096
"42043",9112
"51137",233
"51023",678
"51175",31
"42121",1621
"42051",2062
"37101",1293
"36089",2603
"36121",428
"37085",430
"42097",375
"42115",496
"51730",190
"36069",5412
"51199",1695
"37031",398
"36007",12340
"54031",26
"42033",575
"34019",21238
"42123",600
"37049",789
"42069",2113
"36101",14958
"36003",873
"36009",785
"24039",58
"37083",190
"37019",527
"42133",8847
"24001",408
"42041",4365
"54061",1920
"51036",45
"51670",269
"37017",60
"36073",909
"36063",4277
"36123",357
"36011",1846
"36025",396
"42113",45
"36051",1758
"51133",34
"36017",939
"51157",92
"51159",22
"54003",393
"24023",127
"36049",172
"24025",6247
"37191",322
"45051",1210
"42037",580
"34041",9279
"37129",3957
"37013",305
"37095",37
"42109",230
"51125",88
"37103",1
"10005",1192
"24041",481
"51085",1613
"51685",62
"51059",36258
"42031",111
"42083",680
"42075",1675
"51031",235
"51193",122
"42005",673
"51165",296
"51127",179
"51163",39
"37037",2007
"51057",32
"42089",1882
"42081",1816
"37145",546
"37061",74
"37077",568
"51061",933
"51065",209
"37073",18
"51041",7355
"51017",20
"51089",84
"42021",1086
"42125",4850
"37001",1759
"51119",188
"51073",420
"51683",2144
"51179",74
"51109",200
"42105",63
"51115",77
"51093",342
"42103",246
"37133",301
"51550",892
"45067",44
"24047",310
"51047",244
"42001",824
"51087",3378
"42009",576
"51033",170
"37135",17714
"37139",93
"37163",114
"36117",7560
"37155",145
"37033",55
"51161",221
"51680",1996
"42047",195
"37181",103
"10001",1115
"24035",581
"51540",6199
"54027",34
"24045",906
"51131",37
"37063",23052
"54077",117
"37105",696
"51590",307
"51147",83
"42065",123
"42067",183
"34011",837
"37117",19
"51143",152
"42049",7410
"51595",9
"24037",536
"51013",7885
"54071",14
"36097",352
"37007",57
"42131",266
"37065",81
"37053",50
"51005",79
"51037",29
"51007",18
"37165",303
"51043",130
"51113",46
"54037",627
"54001",14
"37157",312
"45069",57
"51053",28
"51149",80
"37029",43
"42099",403
"51700",2138
"54065",66
"37153",84
"51139",53
"42059",184
"45031",845
"24009",825
"54083",46
"51678",248
"51181",10
"42023",45
"37143",33
"37091",26
"51610",3327
"51135",246
"51111",124
"51091",31
"37147",1967
"54091",23
"54023",16
"51081",4
"42019",3850
"37185",9
"51840",1077
"34039",39253
"34027",49702
"34025",49519
"09013",11279
"25013",8463
"33001",865
"36041",69
"36039",553
"36001",23371
"33011",32617
"36079",9475
"23017",4674
"34017",13568
"36119",101377
"25017",285223
"34005",11954
"36095",440
"34009",622
"36087",13698
"36103",39581
"50021",827
"50001",1549
"23007",209
"36111",10372
"36035",1192
"34029",7417
"36091",25987
"44009",4759
"36019",957
"36083",7224
"36059",38438
"25001",4479
"25011",1126
"34003",40574
"09001",70091
"25015",4620
"36093",35797
"09011",13522
"23003",154
"34013",22904
"36021",1304
"36115",448
"23019",919
"50025",442
"33003",991
"33009",5031
"23013",529
"33013",4158
"25009",45932
"25027",49072
"23029",142
"33015",17011
"23021",80
"34023",44990
"34001",1537
"36057",1011
"50017",601
"34037",14245
"36071",7554
"36113",2019
"50019",169
"36027",61367
"25005",17119
"09009",48137
"23031",4213
"25003",3153
"25021",66594
"25023",13669
"50007",30186
"44007",13163
"50005",728
"23005",5286
"23025",134
"23011",508
"33007",186
"50013",547
"09003",51366
"34021",42939
"50027",1766
"50011",1362
"09015",2532
"09005",10748
"50003",712
"36033",254
"23023",269
"33019",1169
"23009",512
"50015",850
"23027",251
"50023",1306
"34031",10539
"33005",1525
"33017",4091
"09007",11339
"23001",561
"34035",41534
"36031",228
"25025",31152
"23015",304
"44005",3374
"25019",81
"44001",3323
"50009",23
"25007",235
"44003",5223
"08085",292
"19017",357
"49035",41153
"06087",26598
"19127",1547
"17031",179465
"26125",130020
"41051",80680
"06053",4860
"41029",2094
"06085",922711
"06037",287005
"06081",204670
"48375",935
"37043",49
"06059",191800
"45083",5600
"37115",207
"06065",25219
"12071",4806
"02185",10
"04015",662
"31135",41
"18149",42
