"geoid","year","cnt_patents","cnt_patent_inventors","cnt_pantent_owners"
"42107",NA,0,0,0
"42011",NA,0,0,0
"37055",NA,0,0,0
"24013",NA,0,0,0
"42045",NA,0,0,0
"42063",NA,0,0,0
"36023",NA,0,0,0
"36107",NA,0,0,0
"42079",NA,0,0,0
"42013",NA,0,0,0
"24017",NA,0,0,0
"36029",NA,0,0,0
"36105",NA,0,0,0
"24027",NA,0,0,0
"37137",NA,0,0,0
"51095",NA,0,0,0
"36065",NA,0,0,0
"51003",NA,0,0,0
"42129",NA,0,0,0
"42091",NA,0,0,0
"45089",NA,0,0,0
"37141",NA,0,0,0
"51015",NA,0,0,0
"42127",NA,0,0,0
"24043",NA,0,0,0
"37047",NA,0,0,0
"37051",NA,0,0,0
"42119",NA,0,0,0
"51029",NA,0,0,0
"24019",NA,0,0,0
"36075",NA,0,0,0
"34033",NA,0,0,0
"42057",NA,0,0,0
"42061",NA,0,0,0
"37151",NA,0,0,0
"51069",NA,0,0,0
"54057",NA,0,0,0
"45033",NA,0,0,0
"24005",NA,0,0,0
"36077",NA,0,0,0
"51075",NA,0,0,0
"34015",NA,0,0,0
"42035",NA,0,0,0
"36043",NA,0,0,0
"51019",NA,0,0,0
"36067",NA,0,0,0
"37131",NA,0,0,0
"24003",NA,0,0,0
"51800",NA,0,0,0
"36037",NA,0,0,0
"24033",NA,0,0,0
"24029",NA,0,0,0
"54075",NA,0,0,0
"37195",NA,0,0,0
"42087",NA,0,0,0
"51001",NA,0,0,0
"51105",NA,0,0,0
"24031",NA,0,0,0
"42003",NA,0,0,0
"42025",NA,0,0,0
"36015",NA,0,0,0
"42027",NA,0,0,0
"45015",NA,0,0,0
"36099",NA,0,0,0
"37127",NA,0,0,0
"42055",NA,0,0,0
"36045",NA,0,0,0
"36053",NA,0,0,0
"51175",NA,0,0,0
"42121",NA,0,0,0
"42051",NA,0,0,0
"37101",NA,0,0,0
"36089",NA,0,0,0
"37085",NA,0,0,0
"42097",NA,0,0,0
"42115",NA,0,0,0
"51023",NA,0,0,0
"51083",NA,0,0,0
"51117",NA,0,0,0
"37031",NA,0,0,0
"42033",NA,0,0,0
"34019",NA,0,0,0
"42123",NA,0,0,0
"37049",NA,0,0,0
"36101",NA,0,0,0
"24039",NA,0,0,0
"36121",NA,0,0,0
"36007",NA,0,0,0
"36055",NA,0,0,0
"37019",NA,0,0,0
"24001",NA,0,0,0
"54061",NA,0,0,0
"37017",NA,0,0,0
"42071",NA,0,0,0
"36073",NA,0,0,0
"10003",NA,0,0,0
"36063",NA,0,0,0
"36011",NA,0,0,0
"36025",NA,0,0,0
"42113",NA,0,0,0
"36051",NA,0,0,0
"37083",NA,0,0,0
"51133",NA,0,0,0
"36013",NA,0,0,0
"51157",NA,0,0,0
"51159",NA,0,0,0
"54003",NA,0,0,0
"42077",NA,0,0,0
"34041",NA,0,0,0
"42069",NA,0,0,0
"37013",NA,0,0,0
"37095",NA,0,0,0
"42095",NA,0,0,0
"51125",NA,0,0,0
"37103",NA,0,0,0
"51137",NA,0,0,0
"42133",NA,0,0,0
"45019",NA,0,0,0
"42031",NA,0,0,0
"42083",NA,0,0,0
"45041",NA,0,0,0
"42015",NA,0,0,0
"24041",NA,0,0,0
"51031",NA,0,0,0
"42005",NA,0,0,0
"42043",NA,0,0,0
"51165",NA,0,0,0
"51127",NA,0,0,0
"51057",NA,0,0,0
"42081",NA,0,0,0
"37145",NA,0,0,0
"37061",NA,0,0,0
"36069",NA,0,0,0
"51061",NA,0,0,0
"36009",NA,0,0,0
"42111",NA,0,0,0
"42117",NA,0,0,0
"24015",NA,0,0,0
"36003",NA,0,0,0
"37073",NA,0,0,0
"51017",NA,0,0,0
"51067",NA,0,0,0
"42021",NA,0,0,0
"42125",NA,0,0,0
"37191",NA,0,0,0
"42089",NA,0,0,0
"51119",NA,0,0,0
"51073",NA,0,0,0
"51109",NA,0,0,0
"42105",NA,0,0,0
"36123",NA,0,0,0
"51115",NA,0,0,0
"34007",NA,0,0,0
"42017",NA,0,0,0
"51093",NA,0,0,0
"51085",NA,0,0,0
"24023",NA,0,0,0
"42103",NA,0,0,0
"24021",NA,0,0,0
"37107",NA,0,0,0
"24047",NA,0,0,0
"37125",NA,0,0,0
"42029",NA,0,0,0
"42001",NA,0,0,0
"42009",NA,0,0,0
"51033",NA,0,0,0
"37163",NA,0,0,0
"37033",NA,0,0,0
"51161",NA,0,0,0
"37181",NA,0,0,0
"10001",NA,0,0,0
"24035",NA,0,0,0
"51059",NA,0,0,0
"54027",NA,0,0,0
"36049",NA,0,0,0
"37037",NA,0,0,0
"24045",NA,0,0,0
"51179",NA,0,0,0
"51131",NA,0,0,0
"37063",NA,0,0,0
"54077",NA,0,0,0
"37001",NA,0,0,0
"51147",NA,0,0,0
"42065",NA,0,0,0
"36017",NA,0,0,0
"51153",NA,0,0,0
"37077",NA,0,0,0
"24025",NA,0,0,0
"37117",NA,0,0,0
"51163",NA,0,0,0
"24037",NA,0,0,0
"42047",NA,0,0,0
"54071",NA,0,0,0
"36109",NA,0,0,0
"37065",NA,0,0,0
"42041",NA,0,0,0
"37053",NA,0,0,0
"51099",NA,0,0,0
"36117",NA,0,0,0
"51037",NA,0,0,0
"51007",NA,0,0,0
"51193",NA,0,0,0
"51043",NA,0,0,0
"51113",NA,0,0,0
"54001",NA,0,0,0
